name,term,category,credits,dayOfWeek,period,location,isCompulsory,description,learningObjectives
DTPソフト応用演習A,２期,演習,2,火曜日,１時限,古町ルフルキャンパス,,前提科目で学修した初歩的なグラフィックデザインによる情報整理と、ツールの基本的な使用法を踏まえ、本科目では多数の情報を整理、構築し、伝達・訴求することを目的に、顧客とのコミュニケーションや、制作仕様書から、伝達優先順位を読み取り、ラフを用いて情報の優先順位の確認を取り、扱う情報に応じた素材制作を行い、さらに全体を組み立てて情報の視覚化を実現する、といったデザインの全プロセスの習熟を図ると共に、ツールの使用技術を高める。,1. 商業印刷に必要な知識の修得2. DTP/デザインツール使用技術の習熟3. 制作課題を通し、商業デザインに必要な情報整理と、構想の組立てが出来る
DTPソフト応用演習B,２期,演習,2,木曜日,１時限,古町ルフルキャンパス,,前提科目で学修した初歩的なグラフィックデザインによる情報整理と、ツールの基本的な使用法を踏まえ、本科目では多数の情報を整理、構築し、伝達・訴求することを目的に、顧客とのコミュニケーションや、制作仕様書から、伝達優先順位を読み取り、ラフを用いて情報の優先順位の確認を取り、扱う情報に応じた素材制作を行い、さらに全体を組み立てて情報の視覚化を実現する、といったデザインの全プロセスの習熟を図ると共に、ツールの使用技術を高める。,1. 商業印刷に必要な知識の修得2. DTP/デザインツール使用技術の習熟3. 制作課題を通し、商業デザインに必要な情報整理と、構想の組立てが出来る
ICT演習（ITパスポート）（第2学期）,２期,演習,1,月曜日,２時限,米山キャンパス,選択,ITに関する共通的な基礎知識を習得し、職業人として担当する業務に対して IT を活用できるよう、ITパスポート試験の学習を通して知識を身に付ける。・利用する情報機器及びシステムを把握・活用し、担当業務における問題の把握及び必要な解決を図る。・安全に情報の収集や活用を行い、上位者の指導の下、業務の分析やシステム化の支援を行い、新しい技術（AI，ビッグデータ，IoT など）や新しい手法（アジャイルなど）の活用を推進する。,(1)利用する情報機器及びシステムを把握するために、コンピュータシステム、データベース、ネットワーク、情報セキュリティ、情報デザイン、情報メディアに関する知識を身に付ける。(2)担当業務を理解するために、企業活動や関連業務の知識を身に付け、担当業務の問題把握及び必要な解決を図るためにデータを利活用し、システム的な考え方や論理的な思考力（プログラミング的思考力など）や問題分析及び問題解決手法に関する知識を身に付ける。(3)安全に情報を収集し、効果的に活用するために、関連法規、情報セキュリティに関する各種規程、情報倫理に従って活動できるよう学習する。(4)業務の分析やシステム化の支援を行うために、情報システムの開発及び運用に関する知識を身に付ける。(5)新しい技術（AI・ビッグデータ・IoT など）や新しい手法（アジャイルなど）の概要に関する知識を身に付ける。
ICT演習（ITパスポート）（第4学期）,４期,演習,1,月曜日,３時限,米山キャンパス,選択,ITに関する共通的な基礎知識を習得し、職業人として担当する業務に対して IT を活用できるよう、ITパスポート試験の学習を通して知識を身に付ける。・利用する情報機器及びシステムを把握・活用し、担当業務における問題の把握及び必要な解決を図る。・安全に情報の収集や活用を行い、上位者の指導の下、業務の分析やシステム化の支援を行い、新しい技術（AI，ビッグデータ，IoT など）や新しい手法（アジャイルなど）の活用を推進する。,(1)利用する情報機器及びシステムを把握するために、コンピュータシステム、データベース、ネットワーク、情報セキュリティ、情報デザイン、情報メディアに関する知識を身に付ける。(2)担当業務を理解するために、企業活動や関連業務の知識を身に付け、担当業務の問題把握及び必要な解決を図るためにデータを利活用し、システム的な考え方や論理的な思考力（プログラミング的思考力など）や問題分析及び問題解決手法に関する知識を身に付ける。(3)安全に情報を収集し、効果的に活用するために、関連法規、情報セキュリティに関する各種規程、情報倫理に従って活動できるよう学習する。(4)業務の分析やシステム化の支援を行うために、情報システムの開発及び運用に関する知識を身に付ける。(5)新しい技術（AI・ビッグデータ・IoT など）や新しい手法（アジャイルなど）の概要に関する知識を身に付ける。
ICT演習（IoT）,１期２期,演習,2,,,米山キャンパス,選択,ＩｏＴに関し、技術的な視点だけでなく、マーケティングやサービスの提供、ユーザの視点から必要となるカテゴリ、スキル要件などを網羅し、それぞれの立場でＩｏＴを企画・開発・利用するために必要なスキルと知識を体系的に学修する。具体的には、戦略とマネジメント、産業システムと標準化、法律、ネットワーク、デバイス、プラットフォーム、データ分析、セキュリティなどのスキルや知識を修得し、各自で簡単なIoTシステムの設計およびプログラミングを行う。,１．IoTの技術的な視点だけでなく、マーケティングやサービスの提供について説明できる。２．IoTを企画・開発・利用するために必要な知識を習得し、それらを説明できる。３．簡単なIoTシステムを設計できる。
ICT演習（IoT）,１期,演習,2,,,米山キャンパス,選択,ＩｏＴに関し、技術的な視点だけでなく、マーケティングやサービスの提供、ユーザーの視点から必要となるカテゴリ、スキル要件などを網羅し、それぞれの立場でＩｏＴを企画・開発・利用するために必要なスキルと知識を体系的に学修する。具体的には、戦略とマネジメント、産業システムと標準化、法律、ネットワーク、デバイス、プラットフォーム、データ分析、セキュリティなどのスキルや知識を修得する。,１．IoTの技術的な視点だけでなく、マーケティングやサービスの提供に関することを理解する。２．IoTを企画・開発・利用するために必要な知識を理解する。
ICT演習（クラウド）,１期,演習,2,,,米山キャンパス,選択,クラウドの運用やクラウドサービスの提供など、クラウド環境で業務を実行するエンジニアが必要とされる、セキュアなクラウド環境の実装と運用に関するベストプラクティスを理解するとともに、DX推進やITエンジニアに必要とされるクラウドコンピューティングにおけるインフラストラクチャに関する知識や技術を学修する。具体的には、責任範囲、リソース管理、ネットワーク、認証、セキュリティ、監視、バックアップ、災害対策などである。,1. クラウド環境で見落としがちなサービス提供事業者と利用ユーザー側の責任範囲について理解を深める。2. クラウド環境で業務を実行するITエンジニアが必要とされる知識とスキル、ベストプラクティスを説明できるようになる。
ICT演習（クラウド）,１期,演習,2,火曜日,１時限,米山キャンパス,選択,クラウドの運用やクラウドサービスの提供など、クラウド環境で業務を実行するエンジニアが必要とされる、セキュアなクラウド環境の実装と、運用スキルとベストプラクティスへの理解とともに、クラウドの運用やクラウドサービスの提供など、クラウド環境で業務を実行するエンジニアが必要とされる、知識や技術を体系的に学修する。具体的には、クラウドのコンポーネントとモデル、仮想化、インフラストラクチャ、リソースマネジメント、セキュリティ、システムマネジメント、クラウドを活用した事業継続などのスキルや知識を修得する。,１．ラウドの運用やクラウドサービスの提供に関することを理解する。２．クラウド環境で業務を実行するITエンジニアが必要とされるスキルとベストプラクティスを理解する。
ICT演習（セキュリティ）,４期,演習,2,月曜日,３時限,米山キャンパス,選択,今日のセキュリティ求人では実践可能な人材が求められている。そこでセキュリティについて対策や攻撃側に関連する知識やスキルを修得するとともに、定期的、日常的に実施されるべきセキュリティ運用、脅威や脆弱性についての知識やスキルを体系的に学修する。具体的には、セキュリティ管理、攻撃手法、暗号化、アカウント管理制御、セキュアなネットワーク、セキュアなネットワークおよびアプリケーション開発、クラウドコンピューティングにおける対策、IoTにおける対策、データ保護、プライバシー、リスク管理などのスキルや知識を修得する。,1. リスクに関連する概念の重要性を説明することができる。2. 攻撃手法を理解し、マルウェアの解析、分類することができる。3. 認証プロトコルの目的と機能を理解し、説明することができる。4. サーバーやネットワーク機器、アプリケーションにおけるセキュリティ設定について説明することができる。5. 悪意のある行為やセキュリティトラブルが発生した際の対応について具体的に説明することができる。
ICT演習（セキュリティスペシャリスト）,２期,演習,2,水曜日,３時限,米山キャンパス,選択,セキュリティ機能の企画・要件定義・開発・運用・保守を、推進又は支援する業務、若しくはセキュアな情報システム基盤を整備する業務に従事し、次の役割を果たす際に必要となるスキルと知識を体系的に学修する。①情報システムの脅威・脆弱性を分析、評価し、これらを適切に回避、防止するセキュリティ機能の企画・要件定義・開発を推進又は支援する。②情報システム又はセキュリティ機能の開発プロジェクトにおいて、情報システムへの脅威を分析し、プロジェクト管理を適切に支援する。,１. 情報システムの脅威・脆弱性を分析、評価し、これらを適切に回避、防止するセキュリティ機能の企画・要件定義・開発を支援する。２. 情報システム又はセキュリティ機能の開発プロジェクトにおいて、情報システムへの脅威を分析し、プロジェクト管理を適切に支援する。
ICT演習（データベーススペシャリスト）,４期,演習,2,火曜日,１時限,米山キャンパス,選択,データ資源、及びデータベースを企画・要件定義・開発・運用・保守する業務に従事し、次の役割を果たす際に必要となるスキルと知識を体系的に学修する。①データ管理者として、情報システム全体のデータ資源を管理する。②データベースシステムに対する要求を分析し、効率性・信頼性・安全性を考慮した企画・要件定義・開発・運用・保守を実施する。③個別システム開発の企画・要件定義・開発・運用・保守において、データベース関連の技術支援を実施する。,１．データベース技術の動向を広く見通し、目的に応じて適用可能な技術を選択できる。２．データ資源管理の目的と技法を理解し、データ部品の標準化、リポジトリシステムの企画・要件定義・開発・運用・保守ができる。３．データモデリング技法を理解し、利用者の要求に基づいてデータ分析を行い、正確な概念データモデルを作成できる。４．データベース管理システムの特性を理解し、高品質なデータベースの企画・要件定義・開発・運用・保守ができる。
ICT演習（応用情報）,２期,演習,2,水曜日,１時限,米山キャンパス,選択,高度IT人材となるために必要な応用的知識・技能をもち、基本戦略立案、又はITソリューション・製品・サービスを実現する業務に従事し、独力で次のいずれかの役割を果たす際に、必要となるスキルと知識を体系的に学修する。企業経営、社会システムなどの需要者が直面する課題に対して、情報技術を活用した戦略の立案、システムの設計・開発を実施し、又は汎用製品の最適組合せ（インテグレーション）による信頼性・生産性の高いシステムの構築、また、その安定的な運用サービスの実現について学修する。,１．システムの設計・開発、又は汎用製品の最適組合せによって、信頼性・生産性の高いシステム構築を理解する。２．構築されたシステムの安定的な運用サービス実現に関することを理解する。３．需要者（企業経営，社会システム）が直面する課題に対して，情報技術を活用した戦略の立案に関することを理解する。
ICT演習（マシンラーニング）,４期,演習,2,火曜日,３時限,米山キャンパス,選択,マシンラーニング技術の可能性と限界を正しく理解し、事業に活用するための知識を体系的に学修する。ディープラーニングを含むさまざまな機械学習技術に加え、ディープラーニングをベースにしたAIの技術的発展とその社会応用、法制度やプライバシー、倫理面の問題など、人工知能、機械学習、ディープラーニングに関する俯瞰的な知識を課題演習を行うことを通して身につけることで、適切な事業応用を可能とするような基礎能力を養成する。,(1) 人工知能と機械学習の概要について説明することができる。(2) ディープラーニングの仕組みに関する基礎知識を有し、応用分野での適用方法について説明することができる。(3) ディープラーニングの社会実装に必要なマネジメント要素とビジネス事例について説明することができる。
ICT演習（マシンラーニング）,１期,演習,2,金曜日,３時限,米山キャンパス,選択,マシンラーニング技術の可能性と限界を正しく理解し、事業に活用するための知識を体系的に学修する。ディープラーニングを含むさまざまな機械学習技術に加え、ディープラーニングをベースにしたAIの技術的発展とその社会応用、法制度やプライバシー、倫理面の問題など、人工知能、機械学習、ディープラーニングに関する俯瞰的な理解をもつことで、経営層に対し適切な活用方針を提案し事業応用を可能とするような能力を養成する。,１. ディープラーニングの基礎知識を有し、適切な活用方法を決定して事業応用する能力を身につける。
ICT演習（基本情報）,３期,演習,2,水曜日,３時限,米山キャンパス,選択,情報技術の基本的な概念、原理、および実践的な技能を深く理解し、専門的な知識と技術を習得します。主に、疑似言語による、プログラムの仕様、グラフなどのデータ構造や、それを活用したプログラム開発について、深い知識を身につける。これにより、情報技術の基本的な問題解決能力を身につける事ができる。また、情報セキュリティに関しても事例を基に対処法を検討する。基本情報技術者試験に向けて十分な知識と自信を持つことができるようになることが期待できる。,①データの構造について理解できる。②アルゴリズムについて理解できる。③セキュリティの知識とインシデントの対応能力が身に付く。
ICT演習（基本情報）,３期,演習,2,,,米山キャンパス,選択,情報技術の基本的な概念、原理、および実践的な技能を深く理解し、専門的な知識と技術を習得します。主に、疑似言語による、プログラムの仕様、グラフなどのデータ構造や、それを活用したプログラム開発について、深い知識を身につける。これにより、情報技術の基本的な問題解決能力を身につける事ができる。また、情報セキュリティに関しても事例を基に対処法を検討する。基本情報技術者試験に向けて十分な知識と自信を持つことができるようになることが期待できる。,①データの構造について理解できる。②アルゴリズムについて理解できる。③セキュリティの知識とインシデントの対応能力が身に付く。
ICT演習(組込システム),４期,演習,2,,,米山キャンパス,選択,自動車、家電、モバイル機器などに搭載する組込みシステムについて、次のいずれかの役割を果たす際に必要となるスキルと知識を体系的に学修する。①組込みシステムを対象として、機能仕様とリアルタイム性を最適に実現するハードウェアとソフトウェアのトレードオフに基づく機能分担を図り、設計書・仕様書の作成を実施する。②組込みシステム開発における各工程の作業を、主導的に実施する。③特定の技術・製品分野についての高度で専門的な知識・開発経験を基に、開発する当該分野の専門家から技術上の知識を獲得して、開発の各工程に反映させる。,１．組込システムの企画・要件定義・開発に関することを理解する。２．組込システムの運用・保守に関することを理解する。３．組込システム技術に関することを理解する。
ICT活用総合実習　（堀川桂太郎）,通年,実習,4,火曜日,３時限,米山キャンパス,必修,ＩＣＴ分野の専門職業人として、実践的かつ応用的な能力を総合的に高めるために、職業専門科目を中心に身につけた知識・技能を統合した総合的な実習を行う。具体的には課題解決のための調査、学生同士や指導教員との議論、並びに共同作業等を通して、その解決法を考え、それを計画的・論理的に実行しICTを活用した課題を解決する課題解決能力を養う。併せて、課題解決の過程・結果・結論をまとめ、グループ討議や発表を通じて、コミュニケーション能力やディベート力、プレゼンテーション能力の向上を図る。,１．合理的な情報システムを創出する能力を身につける。２．情報通信技術を駆使して情報システムを具体化する能力を身につける。３．情報システムのデザイン（計画、設計、管理）能力を身につける。４．開発環境の構築と開発作業の管理ができる能力を身につける。５．情報システムの開発能力と要求を満たしているか妥当性確認できる能力を身につける
ICT活用総合実習　（清水勇介）,通年,実習,4,木曜日,４時限,米山キャンパス,必修,ＩＣＴ分野の専門職業人として、実践的かつ応用的な能力を総合的に高めるために、職業専門科目を中心に身につけた知識・技能を統合した総合的な実習を行う。具体的には課題解決のための調査、学生同士や指導教員との議論、並びに共同作業等を通して、その解決法を考え、それを計画的・論理的に実行しICTを活用した課題を解決する課題解決能力を養う。併せて、課題解決の過程・結果・結論をまとめ、グループ討議や発表を通じて、コミュニケーション能力やディベート力、プレゼンテーション能力の向上を図る。,１．合理的な情報システムを創出する能力を身につける。２．情報通信技術を駆使して情報システムを具体化する能力を身につける。３．情報システムのデザイン（計画、設計、管理）能力を身につける。４．開発環境の構築と開発作業の管理ができる能力を身につける。５．情報システムの開発能力と要求を満たしているか妥当性確認できる能力を身につける
ICT活用総合実習　（鈴木源吾）,通年,実習,4,木曜日,３時限,米山キャンパス,必修,ＩＣＴ分野の専門職業人として、実践的かつ応用的な能力を総合的に高めるために、職業専門科目を中心に身につけた知識・技能を統合した総合的な実習を行う。具体的には課題解決のための調査、学生同士や指導教員との議論、並びに共同作業等を通して、その解決法を考え、それを計画的・論理的に実行しICTを活用した課題を解決する課題解決能力を養う。併せて、課題解決の過程・結果・結論をまとめ、グループ討議や発表を通じて、コミュニケーション能力やディベート力、プレゼンテーション能力の向上を図る。,１．合理的な情報システムを創出する能力を身につける。２．情報通信技術を駆使して情報システムを具体化する能力を身につける。３．情報システムのデザイン（計画、設計、管理）能力を身につける。４．開発環境の構築と開発作業の管理ができる能力を身につける。５．情報システムの開発能力と要求を満たしているか妥当性確認できる能力を身につける
ICT活用総合実習　（𠮷田貴裕）,通年,実習,4,木曜日,４時限,米山キャンパス,必修,ＩＣＴ分野の専門職業人として、実践的かつ応用的な能力を総合的に高めるために、職業専門科目を中心に身につけた知識・技能を統合した総合的な実習を行う。具体的には課題解決のための調査、学生同士や指導教員との議論、並びに共同作業等を通して、その解決法を考え、それを計画的・論理的に実行しICTを活用した課題を解決する課題解決能力を養う。併せて、課題解決の過程・結果・結論をまとめ、グループ討議や発表を通じて、コミュニケーション能力やディベート力、プレゼンテーション能力の向上を図る。,１．合理的な情報システムを創出する能力を身につける。２．情報通信技術を駆使して情報システムを具体化する能力を身につける。３．情報システムのデザイン（計画、設計、管理）能力を身につける。４．開発環境の構築と開発作業の管理ができる能力を身につける。５．情報システムの開発能力と要求を満たしているか妥当性確認できる能力を身につける
ICT活用総合実習　（PANNYUMON）,通年,実習,4,火曜日,４時限,米山キャンパス,必修,ＩＣＴ分野の専門職業人として、実践的かつ応用的な能力を総合的に高めるために、職業専門科目を中心に身につけた知識・技能を統合した総合的な実習を行う。具体的には課題解決のための調査、学生同士や指導教員との議論、並びに共同作業等を通して、その解決法を考え、それを計画的・論理的に実行しICTを活用した課題を解決する課題解決能力を養う。併せて、課題解決の過程・結果・結論をまとめ、グループ討議や発表を通じて、コミュニケーション能力やディベート力、プレゼンテーション能力の向上を図る。,１．合理的な情報システムを創出する能力を身につける。２．情報通信技術を駆使して情報システムを具体化する能力を身につける。３．情報システムのデザイン（計画、設計、管理）能力を身につける。４．開発環境の構築と開発作業の管理ができる能力を身につける。５．情報システムの開発能力と要求を満たしているか妥当性確認できる能力を身につける
ICT活用総合実習　（平川秀樹）,通年,実習,4,火曜日,４時限,米山キャンパス,必修,ＩＣＴ分野の専門職業人として、実践的かつ応用的な能力を総合的に高めるために、職業専門科目を中心に身につけた知識・技能を統合した総合的な実習を行う。具体的には課題解決のための調査、学生同士や指導教員との議論、並びに共同作業等を通して、その解決法を考え、それを計画的・論理的に実行しICTを活用した課題を解決する課題解決能力を養う。併せて、課題解決の過程・結果・結論をまとめ、グループ討議や発表を通じて、コミュニケーション能力やディベート力、プレゼンテーション能力の向上を図る。,１．合理的な情報システムを創出する能力を身につける。２．情報通信技術を駆使して情報システムを具体化する能力を身につける。３．情報システムのデザイン（計画、設計、管理）能力を身につける。４．開発環境の構築と開発作業の管理ができる能力を身につける。５．情報システムの開発能力と要求を満たしているか妥当性確認できる能力を身につける
ICT活用総合実習　（西川昌宏）,通年,実習,4,木曜日,３時限,米山キャンパス,必修,ＩＣＴ分野の専門職業人として、実践的かつ応用的な能力を総合的に高めるために、職業専門科目を中心に身につけた知識・技能を統合した総合的な実習を行う。具体的には課題解決のための調査、学生同士や指導教員との議論、並びに共同作業等を通して、その解決法を考え、それを計画的・論理的に実行しICTを活用した課題を解決する課題解決能力を養う。併せて、課題解決の過程・結果・結論をまとめ、グループ討議や発表を通じて、コミュニケーション能力やディベート力、プレゼンテーション能力の向上を図る。,１．合理的な情報システムを創出する能力を身につける。２．情報通信技術を駆使して情報システムを具体化する能力を身につける。３．情報システムのデザイン（計画、設計、管理）能力を身につける。４．開発環境の構築と開発作業の管理ができる能力を身につける。５．情報システムの開発能力と要求を満たしているか妥当性確認できる能力を身につける
ICT活用総合実習　（西川浩平）,通年,実習,4,木曜日,３時限,米山キャンパス,必修,ＩＣＴ分野の専門職業人として、実践的かつ応用的な能力を総合的に高めるために、職業専門科目を中心に身につけた知識・技能を統合した総合的な実習を行う。具体的には課題解決のための調査、学生同士や指導教員との議論、並びに共同作業等を通して、その解決法を考え、それを計画的・論理的に実行しICTを活用した課題を解決する課題解決能力を養う。併せて、課題解決の過程・結果・結論をまとめ、グループ討議や発表を通じて、コミュニケーション能力やディベート力、プレゼンテーション能力の向上を図る。,１．合理的な情報システムを創出する能力を身につける。２．情報通信技術を駆使して情報システムを具体化する能力を身につける。３．情報システムのデザイン（計画、設計、管理）能力を身につける。４．開発環境の構築と開発作業の管理ができる能力を身につける。５．情報システムの開発能力と要求を満たしているか妥当性確認できる能力を身につける
ICT活用総合実習　（後藤幸功）,通年,実習,4,金曜日,１時限,米山キャンパス,必修,ＩＣＴ分野の専門職業人として、実践的かつ応用的な能力を総合的に高めるために、職業専門科目を中心に身につけた知識・技能を統合した総合的な実習を行う。具体的には課題解決のための調査、学生同士や指導教員との議論、並びに共同作業等を通して、その解決法を考え、それを計画的・論理的に実行しICTを活用した課題を解決する課題解決能力を養う。併せて、課題解決の過程・結果・結論をまとめ、グループ討議や発表を通じて、コミュニケーション能力やディベート力、プレゼンテーション能力の向上を図る。,１．合理的な情報システムを創出する能力を身につける。２．情報通信技術を駆使して情報システムを具体化する能力を身につける。３．情報システムのデザイン（計画、設計、管理）能力を身につける。４．開発環境の構築と開発作業の管理ができる能力を身につける。５．情報システムの開発能力と要求を満たしているか妥当性確認できる能力を身につける
